country,phone_code
country,phone_code
Afghanistan,+93
Albania,+355
Alemania,+49
Andorra,+376
Angola,+244
Anguilla,+1
Antigua and Barbuda,+1
Antilles Netherlands,+599
Argelia,+213
Argentina,+54
Armenia,+374
Aruba,+297
Ascension,+247
Australia,+61
Austria,+43
Azerbaijan,+994
Bahamas,+1
Bahrain,+973
Bangladesh,+880
Barbados,+1
Belgium,+32
Belize,+501
Benin,+229
Bermuda,+1
Belarus,+375
Burma (Myanmar),+95
Bolivia,+591
Bosnia and Herzegovina,+387
Botswana,+267
Brazil,+55
Brunei,+673
Bulgaria,+359
Burkina Faso,+226
Burundi,+257
Butan,+975
Cabo Verde,+238
Cambodia,+855
Cameroon,+237
Canada,+1
Chad,+235
Chile,+56
China,+86
Cyprus,+357
Colombia,+57
Comoros,+269
Congo (Republic of the),+242
Congo (Democratic Republic of the),+243
North Korea,+850
South Korea,+82
Costa Rica,+506
Croatia,+385
Cuba,+53
French Overseas Territories in the Indian Ocean,+262
Diego Garcia,+246
Denmark,+45
Dominica,+1
Ecuador,+593
Egypt,+20
El Salvador,+503
United Arab Emirates,+971
Eritrea,+291
Slovakia,+421
Slovenia,+386
Spain,+34
Estados Unidos,+1
Estonia,+372
Ethiopia,+251
Fiji,+679
Finland,+358
France,+33
Gabon,+241
Gambia,+220
Georgia,+995
Ghana,+233
Gibraltar,+350
Grenada,+1
Greece,+30
Greenland,+299
Guadeloupe,+590
Guam,+1
Guatemala,+502
French Guiana,+594
Guinea,+224
Equatorial Guinea,+240
Guinea-Bissau,+245
Guyana,+592
Haiti,+509
Honduras,+504
Hong Kong,+852
Hungary,+36
India,+91
Indonesia,+62
Iraq,+964
Iran,+98
Ireland,+353
Iceland,+354
Cayman Islands,+1
Falkland Islands (Islas Malvinas),+500
Marshall Islands,+692
Solomon Islands,+677
Turks and Caicos Islands,+1
Virgin Islands,+1
British Virgin Islands,+1
Israel,+972
Italy,+39
Jamaica,+1
Japan,+81
Jordan,+962
Kazakhstan,+7
Kenya,+254
Kyrgyzstan,+996
Christmas Island,+686
Kuwait,+965
Laos,+856
Lesotho,+266
Latvia,+371
Lebanon,+961
Liberia,+231
Libya,+218
Liechtenstein,+423
Lithuania,+370
Luxembourg,+352
Macao,+853
Macedonia (FYROM),+389
Madagascar,+261
Malaysia,+60
Malawi,+265
Maldives,+960
Mali,+223
Malta,+356
Morocco,+212
Martinique,+596
Mauritius,+230
Mauritania,+222
Mayotte,+269
Mexico,+52
Micronesia (Federated States of),+691
Moldova,+373
Monaco,+377
Mongolia,+976
Montenegro,+382
Montserrat,+1
Mozambique,+258
Namibia,+264
Nauru,+674
Nepal,+977
Nicaragua,+505
Niger,+227
Nigeria,+234
Niue,+683
Norway,+47
New Caledonia,+687
New Zealand,+64
Oman,+968
Papua New Guinea,+675
Paraguay,+595
Peru,+51
French Polynesia,+689
Poland,+48
Portugal,+351
Puerto Rico,+1
Qatar,+974
United Kingdom,+44
Central African Republic,+236
Czech Republic,+420
Dominican Republic,+1
Rwanda,+250
Romania,+40
Russia,+7
Western Sahara,+212
Samoa,+685
American Samoa,+1
St. Kitts and Nevis,+1
Sammarinese Republic,+378
St. Peter and Miquelon,+508
St. Vincent and the Grenadines,+1
St. Vincent and the Grenadines,+966
Saint Helena,+290
St. Lucia,+1
Holy See (Vatican City),+379
Sao Tome and Principe,+239
Senegal,+221
Serbia,+381
Seychelles,+248
Sierra Leone,+232
Singapore,+65
Syria,+963
Somalia,+252
Sri Lanka,+94
Swaziland,+268
South Africa,+27
Sudan,+249
Sweden,+46
Switzerland,+41
Suriname,+597
Thailand,+66
Taiwan,+886
Tanzania,+255
Tajikistan,+992
Northern Territory of Australia,+1
East Timor,+670
Togo,+228
Tokelau,+690
Tonga,+676
Trinidad and Tobago,+1
Tunisia,+216
Turkmenistan,+993
Turkey,+90
Tuvalu,+688
Ukraine,+380
Uganda,+256
Uruguay,+598
Uzbekistan,+998
Vanuatu,+678
Venezuela,+58
Vietnam,+84
Wallis and Futuna,+681
Yemen,+967
Djibouti,+253
Zambia,+260
Zimbabwe,+263
